pct_facturas_vencidas,pct_pagos_tardios,dias_mora_promedio,monto_promedio_factura,cantidad_facturas,antiguedad_dias,label
0.05,0.03,2,1500,8,180,0
0.08,0.05,5,2200,12,365,0
0.12,0.08,3,1800,6,90,0
0.03,0.02,1,3000,15,730,0
0.15,0.10,4,1200,5,60,0
0.07,0.04,2,2500,10,540,0
0.10,0.06,3,2000,8,270,0
0.04,0.03,1,3500,18,1095,0
0.18,0.12,6,1100,4,45,0
0.06,0.04,2,2800,11,600,0
0.09,0.07,4,1900,7,120,0
0.02,0.01,1,4000,20,1460,0
0.14,0.09,5,1300,6,75,0
0.11,0.08,3,2100,9,300,0
0.05,0.03,2,3200,16,950,0
0.16,0.11,5,1150,5,50,0
0.08,0.05,3,2600,12,580,0
0.13,0.09,4,1700,7,100,0
0.03,0.02,1,3800,19,1300,0
0.17,0.12,6,1050,4,40,0
0.07,0.04,2,2900,13,700,0
0.10,0.07,3,1950,8,150,0
0.04,0.03,1,4200,22,1600,0
0.15,0.10,5,1250,5,55,0
0.09,0.06,3,2400,11,650,0
0.65,0.55,35,1800,4,90,1
0.70,0.60,40,1500,3,60,1
0.60,0.50,30,2000,5,120,1
0.75,0.65,45,1200,2,45,1
0.68,0.58,38,1600,3,75,1
0.72,0.62,42,1400,3,50,1
0.62,0.52,32,1900,4,100,1
0.78,0.68,48,1100,2,30,1
0.66,0.56,36,1700,3,80,1
0.74,0.64,44,1300,3,55,1
0.64,0.54,34,2100,5,110,1
0.80,0.70,50,1000,2,25,1
0.67,0.57,37,1550,3,70,1
0.71,0.61,41,1450,3,48,1
0.63,0.53,33,1950,4,95,1
0.77,0.67,47,1150,2,35,1
0.69,0.59,39,1650,3,85,1
0.73,0.63,43,1350,3,52,1
0.61,0.51,31,2050,5,105,1
0.79,0.69,49,1050,2,28,1
0.06,0.04,2,2700,12,620,0
0.11,0.08,4,1850,7,130,0
0.03,0.02,1,3900,21,1400,0
0.16,0.11,5,1180,5,52,0
0.09,0.06,3,2500,11,680,0
0.14,0.10,5,1280,6,78,0
0.05,0.03,2,3100,15,920,0
0.18,0.13,6,1080,4,42,0
0.08,0.05,3,2450,10,560,0
0.12,0.09,4,1750,7,98,0
0.04,0.03,1,4100,23,1580,0
0.15,0.11,5,1220,5,58,0
0.07,0.04,2,2850,13,720,0
0.10,0.07,3,1920,8,145,0
0.02,0.01,1,4300,24,1650,0
0.17,0.12,6,1030,4,38,0
0.09,0.06,3,2350,11,630,0
0.13,0.09,4,1680,7,92,0
0.05,0.03,2,3300,17,980,0
0.82,0.72,52,950,2,20,1
0.68,0.58,38,1580,3,73,1
0.74,0.64,44,1320,3,50,1
0.62,0.52,32,1920,4,93,1
0.78,0.68,48,1120,2,33,1
0.66,0.56,36,1680,3,82,1
0.72,0.62,42,1420,3,47,1
0.64,0.54,34,1980,5,103,1
0.80,0.70,50,980,2,26,1
0.67,0.57,37,1520,3,68,1
0.71,0.61,41,1480,3,49,1
0.63,0.53,33,2020,5,108,1
0.77,0.67,47,1180,2,36,1
0.69,0.59,39,1620,3,84,1
0.73,0.63,43,1380,3,54,1
0.61,0.51,31,2080,5,107,1
0.79,0.69,49,1020,2,27,1
0.65,0.55,35,1820,4,88,1
0.70,0.60,40,1520,3,58,1
0.60,0.50,30,1950,5,115,1
0.75,0.65,45,1250,2,43,1
0.68,0.58,38,1580,3,76,1
0.72,0.62,42,1450,3,51,1
0.62,0.52,32,1880,4,97,1
0.78,0.68,48,1150,2,32,1
0.66,0.56,36,1720,3,79,1
0.74,0.64,44,1350,3,53,1
0.64,0.54,34,2050,5,109,1
0.80,0.70,50,1050,2,24,1
